par,mus,timbre,fam,att,tech,reg,regn,val,ten,energy,pref,familiar
2,0,33,1,2,0,4,4,0.630673,0.383412,0.42097,0.654147,0.511737
2,0,34,1,2,0,5,5,0.622848,0.597809,0.377152,0.513302,0.514867
2,0,35,1,1,0,3,3,0.416275,0.646322,0.358372,0.298905,0.500782
2,0,36,1,1,0,4,4,0.505477,0.488263,0.500782,0.511737,0.505477
2,0,37,1,1,0,5,5,0.499218,0.469484,0.269171,0.522692,0.513302
2,0,38,1,2,1,3,3,0.408451,0.597809,0.388106,0.406886,0.530516
2,0,39,1,2,1,4,4,0.399061,0.823161,0.198748,0.499218,0.502347
2,0,40,1,3,0,4,4,0.56964,0.613459,0.627543,0.522692,0.488263
2,0,41,1,2,0,4,4,0.514867,0.502347,0.596244,0.456964,0.56651
2,0,42,1,1,0,4,4,0.394366,0.339593,0.630673,0.517997,0.525822
2,0,43,1,2,1,4,4,0.2723,0.779343,0.269171,0.165884,0.467919
2,0,44,1,3,0,5,5,0.514867,0.477308,0.514867,0.516432,0.522692
2,0,45,1,3,0,6,6,0.347418,0.679186,0.316119,0.292645,0.508607
2,0,46,1,2,0,5,5,0.403756,0.693271,0.302034,0.380282,0.503912
2,0,47,1,2,0,6,6,0.514867,0.583725,0.428795,0.519562,0.510172
2,0,48,1,1,0,5,5,0.517997,0.492958,0.507042,0.511737,0.508607
2,0,49,1,1,0,6,6,0.389671,0.618153,0.369327,0.2723,0.514867
2,0,50,1,2,1,5,5,0.402191,0.380282,0.629108,0.475743,0.530516
2,0,51,2,2,0,1,1,0.394366,0.348983,0.661972,0.508607,0.536776
2,0,52,2,2,0,2,2,0.519562,0.478873,0.508607,0.499218,0.505477
2,0,53,2,2,0,3,3,0.358372,0.669797,0.334898,0.492958,0.507042
2,0,54,2,2,0,4,4,0.646322,0.364632,0.671362,0.657277,0.508607
2,0,55,2,2,1,2,2,0.507042,0.513302,0.505477,0.522692,0.492958
2,0,56,2,2,1,3,3,0.618153,0.380282,0.594679,0.593114,0.599374
2,0,57,2,2,1,4,4,0.652582,0.336463,0.669797,0.660407,0.391236
2,0,58,2,2,0,2,2,0.655712,0.604069,0.383412,0.496088,0.519562
2,0,59,2,2,0,3,3,0.408451,0.350548,0.644757,0.488263,0.508607
2,0,60,2,2,0,4,4,0.499218,0.359937,0.641628,0.660407,0.516432
2,0,61,2,2,0,5,5,0.638498,0.547731,0.713615,0.469484,0.477308
2,0,62,2,2,0,6,6,0.356808,0.755869,0.245696,0.519562,0.494523
2,0,63,2,2,1,3,3,0.505477,0.500782,0.507042,0.499218,0.499218
2,0,64,2,2,1,4,4,0.325509,0.838811,0.233177,0.403756,0.364632
2,0,65,2,2,1,5,5,0.652582,0.615023,0.416275,0.502347,0.500782
2,0,66,2,2,0,4,4,0.381847,0.651017,0.359937,0.383412,0.543036
2,0,67,2,2,0,5,5,0.652582,0.586854,0.372457,0.513302,0.502347
2,0,68,2,2,1,4,4,0.356808,0.654147,0.214397,0.492958,0.485133
2,0,69,2,2,1,5,5,0.647887,0.632238,0.352113,0.511737,0.513302
2,0,70,2,2,0,4,4,0.632238,0.475743,0.635368,0.500782,0.502347
2,0,71,2,2,0,5,5,0.610329,0.397496,0.596244,0.477308,0.497653
2,0,72,2,2,1,4,4,0.652582,0.403756,0.492958,0.378717,0.619718
2,0,73,2,2,1,5,5,0.342723,0.768388,0.222222,0.507042,0.477308
2,0,74,2,2,0,4,4,0.632238,0.309859,0.591549,0.636933,0.536776
2,0,75,2,2,1,4,4,0.625978,0.611894,0.377152,0.492958,0.511737
2,0,76,2,2,0,5,5,0.638498,0.630673,0.348983,0.403756,0.488263
2,0,77,2,2,0,6,6,0.640063,0.366197,0.630673,0.668232,0.477308
2,0,78,2,2,1,5,5,0.305164,0.696401,0.29421,0.303599,0.491393
2,0,79,2,2,1,6,6,0.674491,0.2723,0.716745,0.713615,0.491393
2,0,80,2,2,0,7,6,0.359937,0.754304,0.264476,0.517997,0.482003
2,0,81,3,1,0,1,1,0.327074,0.70266,0.302034,0.394366,0.485133
2,0,82,3,1,0,2,2,0.646322,0.361502,0.652582,0.652582,0.502347
2,0,83,3,1,0,3,3,0.748044,0.28169,0.557121,0.760563,0.494523
2,0,84,3,1,0,4,4,0.663537,0.273865,0.758998,0.754304,0.500782
2,0,85,3,1,0,5,5,0.624413,0.388106,0.635368,0.611894,0.615023
2,0,86,3,1,0,6,6,0.610329,0.314554,0.71518,0.630673,0.496088
2,0,87,3,1,0,7,6,0.632238,0.338028,0.668232,0.680751,0.694836
2,0,88,3,2,0,2,2,0.757433,0.226917,0.757433,0.873239,0.521127
2,0,89,3,1,1,2,2,0.749609,0.225352,0.635368,0.876369,0.492958
2,0,90,3,2,0,3,3,0.500782,0.378717,0.496088,0.636933,0.491393
2,0,91,3,2,0,4,4,0.644757,0.345853,0.683881,0.665102,0.500782
2,0,92,3,2,1,3,3,0.638498,0.641628,0.359937,0.516432,0.500782
2,0,93,3,2,1,4,4,0.660407,0.302034,0.719875,0.804382,0.483568
2,0,94,3,1,1,3,3,0.636933,0.363067,0.763693,0.499218,0.503912
2,0,95,3,1,1,4,4,0.651017,0.602504,0.352113,0.507042,0.502347
2,0,96,3,2,0,5,5,0.513302,0.56964,0.480438,0.665102,0.513302
2,0,97,3,2,1,5,5,0.644757,0.330203,0.663537,0.671362,0.519562
2,0,98,3,1,1,5,5,0.879499,0.179969,0.820031,0.773083,0.496088
2,0,99,3,2,0,6,6,0.508607,0.511737,0.514867,0.514867,0.492958
2,0,100,3,2,0,7,6,0.344288,0.682316,0.327074,0.325509,0.494523
2,0,101,3,2,1,6,6,0.643192,0.361502,0.629108,0.615023,0.482003
2,0,102,3,2,1,7,6,0.366197,0.704225,0.267606,0.198748,0.507042
2,0,103,3,1,1,6,6,0.773083,0.27543,0.821596,0.519562,0.500782
2,0,104,4,3,0,2,2,0.386541,0.361502,0.635368,0.522692,0.513302
2,0,105,4,3,0,3,3,0.342723,0.636933,0.663537,0.503912,0.489828
2,0,106,4,2,0,2,2,0.403756,0.629108,0.366197,0.361502,0.513302
2,0,107,4,2,0,3,3,0.613459,0.366197,0.636933,0.507042,0.516432
2,0,108,4,1,0,2,2,0.630673,0.469484,0.486698,0.507042,0.507042
2,0,109,4,1,0,3,3,0.477308,0.865415,0.85759,0.511737,0.505477
2,0,110,4,1,0,3,3,0.508607,0.499218,0.511737,0.763693,0.507042
2,0,111,4,1,0,4,4,0.380282,0.607199,0.381847,0.638498,0.394366
2,0,112,4,1,0,5,5,0.646322,0.361502,0.388106,0.532081,0.514867
2,0,113,4,2,0,3,3,0.322379,0.7277,0.247261,0.27856,0.486698
2,0,114,4,2,0,4,4,0.320814,0.654147,0.323944,0.312989,0.492958
2,0,115,4,2,0,5,5,0.41471,0.602504,0.383412,0.386541,0.522692
2,0,116,4,3,0,3,3,0.233177,0.784038,0.2723,0.247261,0.491393
2,0,117,4,3,0,4,4,0.629108,0.610329,0.388106,0.510172,0.483568
2,0,118,4,3,0,5,5,0.405321,0.773083,0.375587,0.353678,0.505477
2,0,119,4,5,0,3,3,0.630673,0.359937,0.636933,0.514867,0.510172
2,0,120,4,5,0,4,4,0.651017,0.370892,0.615023,0.494523,0.499218
2,0,121,4,2,0,3,3,0.4241,0.375587,0.646322,0.497653,0.499218
2,0,122,4,2,0,4,4,0.644757,0.583725,0.740219,0.638498,0.503912
2,0,123,4,2,0,5,5,0.699531,0.322379,0.668232,0.685446,0.494523
2,0,124,4,2,0,6,6,0.629108,0.669797,0.327074,0.510172,0.508607
2,0,125,4,2,0,7,6,0.627543,0.300469,0.820031,0.497653,0.505477
2,0,127,4,3,0,6,6,0.751174,0.399061,0.353678,0.499218,0.502347
2,0,128,4,3,0,7,6,0.510172,0.353678,0.758998,0.386541,0.760563
2,0,129,4,2,0,6,6,0.674491,0.322379,0.676056,0.682316,0.502347
2,0,130,4,2,0,7,6,0.636933,0.348983,0.665102,0.677621,0.535211
2,0,131,4,2,0,5,5,0.746479,0.347418,0.766823,0.604069,0.469484
2,0,132,4,2,0,6,6,0.749609,0.345853,0.636933,0.661972,0.413146
2,0,133,4,3,0,4,4,0.719875,0.43975,0.597809,0.586854,0.525822
2,0,134,4,3,0,5,5,0.665102,0.266041,0.624413,0.615023,0.507042
2,0,135,4,3,0,6,6,0.602504,0.621283,0.367762,0.507042,0.514867
2,0,136,4,3,0,6,6,0.632238,0.615023,0.374022,0.488263,0.528951
2,0,137,4,3,0,7,6,0.719875,0.503912,0.758998,0.583725,0.489828
3,0,0,1,3,0,1,1,0.267606,0.183099,0,0.744914,0.748044
3,0,1,1,3,0,2,2,0.386541,0.117371,0.153365,0.873239,0.896714
3,0,2,1,2,0,1,1,0.395931,0.126761,0.131455,0.632238,0.636933
3,0,3,1,2,0,2,2,0.386541,0.112676,0,0.873239,0.865415
3,0,4,1,1,0,1,1,0.375587,0.126761,0,0.615023,0.621283
3,0,5,1,1,0,2,2,0.561815,0.118936,0.126761,0.876369,0.877934
3,0,6,1,2,1,1,1,0.320814,0.071988,0.057903,0.809077,1
3,0,7,1,2,1,2,2,0.381847,0.125196,0.117371,0.632238,0.625978
3,0,8,1,3,0,3,3,0.934272,0.064163,0.064163,1,1
3,0,9,1,3,0,4,4,0.635368,0.126761,0.248826,0.890454,0.907668
3,0,10,1,2,0,3,3,0.945227,0.067293,0.065728,1,1
3,0,11,1,2,0,4,4,0.934272,0.076682,0.187793,1,1
3,0,12,1,1,0,3,3,0.873239,0.128326,0.226917,0.86385,0.885759
3,0,13,1,1,0,4,4,0.758998,0.134585,0.378717,0.86385,0.751174
3,0,14,1,2,1,3,3,0.530516,0.118936,0.128326,0.752739,0.763693
3,0,15,1,2,1,4,4,0.500782,0.143975,0.117371,0.629108,0.638498
3,0,16,1,3,0,1,1,0.370892,0.372457,0.051643,0.494523,0.489828
3,0,17,1,3,0,2,2,0.384977,0.112676,0.118936,0.633803,0.611894
3,0,18,1,2,0,1,1,0.500782,0.057903,0.061033,0.500782,0.942097
3,0,19,1,2,0,2,2,0.269171,0.117371,0.128326,0.621283,0.635368
3,0,20,1,2,1,2,2,0.203443,0.073552,0.131455,0.682316,0.682316
3,0,21,1,3,0,3,3,0.381847,0.118936,0.134585,0.751174,0.758998
3,0,22,1,2,0,3,3,0.367762,0.104851,0.120501,0.758998,0.762128
3,0,23,1,2,1,3,3,0.511737,0.170579,0.120501,0.752739,0.758998
3,0,24,1,3,0,4,4,0.500782,0.492958,0.128326,0.884194,0.881064
3,0,25,1,2,0,4,4,0.488263,0.183099,0.258216,0.746479,0.873239
3,0,26,1,1,0,3,3,0.629108,0.381847,0.629108,1,1
3,0,27,1,1,0,4,4,0.627543,0.613459,0.237872,0.754304,0.630673
3,0,28,1,2,1,4,4,0.392801,0.378717,0.126761,0.250391,0.251956
3,0,29,1,3,0,3,3,0.625978,0.613459,0.873239,1,0.887324
3,0,30,1,3,0,4,4,0.500782,0.273865,0.369327,0.625978,0.646322
3,0,31,1,3,0,5,5,0.500782,0.497653,0.500782,0.627543,0.629108
3,0,32,1,2,0,3,3,0.378717,0.137715,0.114241,0.477308,0.873239
3,0,33,1,2,0,4,4,0.380282,0.621283,0.377152,0.12989,0.125196
3,0,34,1,2,0,5,5,0.507042,0.502347,1,0.247261,0.256651
3,0,35,1,1,0,3,3,0.489828,0.125196,0.115806,0.752739,0.735524
3,0,36,1,1,0,4,4,0.762128,0.500782,0.873239,0.86698,0.881064
3,0,37,1,1,0,5,5,0.392801,0.754304,0.865415,0.627543,0.602504
3,0,38,1,2,1,3,3,0.242567,0.131455,0.134585,0.624413,0.618153
3,0,39,1,2,1,4,4,0.377152,0.386541,0.115806,0.624413,0.629108
3,0,40,1,3,0,4,4,0.622848,0.751174,0.730829,0.876369,0.627543
3,0,41,1,2,0,4,4,0.729264,0.621283,0.760563,0.625978,0.643192
3,0,42,1,1,0,4,4,0.748044,0.632238,0.777778,0.884194,0.877934
3,0,43,1,2,1,4,4,0.513302,0.499218,0.241002,0.624413,0.636933
3,0,44,1,3,0,5,5,0.86698,0.652582,1,0.873239,0.882629
3,0,45,1,3,0,6,6,0.741784,0.618153,0.862285,0.873239,0.865415
3,0,46,1,2,0,5,5,0.887324,0.743349,1,1,0.871674
3,0,47,1,2,0,6,6,0.763693,0.835681,1,1,0.87011
3,0,48,1,1,0,5,5,0.882629,0.744914,0.885759,0.741784,0.743349
3,0,49,1,1,0,6,6,0.194053,0.865415,0.871674,0.571205,0.676056
3,0,50,1,2,1,5,5,1,0.499218,1,1,1
3,0,51,2,2,0,1,1,0.363067,0,0,0.636933,0.629108
3,0,52,2,2,0,2,2,0.485133,0.384977,0.073552,0.469484,0.486698
3,0,53,2,2,0,3,3,0.882629,0.123631,0.248826,0.629108,0.685446
3,0,54,2,2,0,4,4,0.762128,0.112676,0.364632,1,0.881064
3,0,55,2,2,1,2,2,0.503912,0.374022,0.253521,0.505477,0.383412
3,0,56,2,2,1,3,3,0.497653,0.510172,0.871674,0.599374,0.618153
3,0,57,2,2,1,4,4,0.483568,0.873239,0.877934,0.755869,0.258216
3,0,58,2,2,0,2,2,0.261346,0.13302,0.156495,0.611894,0.621283
3,0,59,2,2,0,3,3,0.644757,0.117371,0.370892,0.86698,0.877934
3,0,60,2,2,0,4,4,0.389671,0.117371,0.245696,1,1
3,0,61,2,2,0,5,5,0.621283,0.255086,0.381847,1,1
3,0,62,2,2,0,6,6,0.879499,0.370892,1,0.507042,0.632238
3,0,63,2,2,1,3,3,0.475743,0.269171,0.251956,0.85759,0.871674
3,0,64,2,2,1,4,4,1,0,0.250391,1,1
3,0,65,2,2,1,5,5,0.374022,0.494523,0.690141,0.500782,0.496088
